workload,experimentName,loadType,vmAllocationPolicy,vmSelectionPolicy,parameter,numberOfHosts,numberOfVms,totalSimulationTime,energy,numberOfMigrations,sla,slaTimePerActiveHost,slaDegradationDueToMigration,slaOverall,slaAverage,numberOfHostShutdowns,meanTimeBeforeHostShutdown,stDevTimeBeforeHostShutdown,meanTimeBeforeVmMigration,stDevTimeBeforeVmMigration,executionTimeVmSelectionMean,executionTimeVmSelectionStDev,executionTimeHostSelectionMean,executionTimeHostSelectionStDev,executionTimeVmReallocationMean,executionTimeVmReallocationStDev,executionTimeTotalMean,executionTimeTotalStDev
39,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,238.1015,19549,0.000055116,0.06804391,0.000810006,0.009139917,0.105436673,4170,1749.52,2649.14,15.75,7.71,0.12166,0.02581,0.00151,0.00074,0.01834,0.00518,0.17033,0.02826
40,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.19662,19576,5.67E-05,0.068484205,0.000827626,0.009176907,0.105329135,4220,1717.76,2669.34,15.81,7.72,0.12134,0.02844,0.00156,0.00077,0.01783,0.00512,0.16942,0.02919
41,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,236.83174,19684,5.63E-05,0.069183038,0.000813079,0.00957156,0.105488616,4193,1734.71,2701.46,15.71,7.69,0.13008,0.03311,0.00154,0.00076,0.01884,0.0051,0.17931,0.03152
42,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,238.16506,19470,5.34E-05,0.066523812,0.000802092,0.008876833,0.104952881,4140,1762.82,2800.32,15.72,7.69,0.11953,0.02611,0.00135,0.00074,0.01642,0.00488,0.16314,0.02665
43,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.29486,19738,5.65E-05,0.068468244,0.000824983,0.008887982,0.104241723,4260,1705.08,2600,15.79,7.72,0.12337,0.02875,0.00153,0.00069,0.0182,0.00571,0.17136,0.03001
44,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.76179,19406,5.62E-05,0.070055957,0.000801866,0.009546116,0.104692705,4195,1746.51,2763.83,15.8,7.75,0.11901,0.02664,0.00124,0.00071,0.01593,0.00485,0.16178,0.02756
45,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.23903,19490,5.61E-05,0.067841011,0.000827355,0.008971401,0.10591074,4193,1721.79,2651.69,15.85,7.74,0.11895,0.0292,0.00117,0.00075,0.01506,0.00482,0.15936,0.03134
46,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.34199,19263,5.16E-05,0.065676102,0.000785651,0.008333275,0.104995718,4136,1758.88,2782.64,15.57,7.64,0.12872,0.0344,0.00153,0.0007,0.01903,0.00628,0.17908,0.03899
47,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.04092,19619,5.46E-05,0.066985339,0.000814519,0.008963998,0.104604392,4198,1727.33,2694.34,15.67,7.67,0.11941,0.02439,0.00124,0.00069,0.01617,0.00527,0.16193,0.02646
48,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.27493,19713,5.50E-05,0.068588389,0.000801228,0.009242646,0.106150294,4220,1722.87,2662.19,15.61,7.65,0.12159,0.02634,0.00148,0.00072,0.01814,0.0055,0.16924,0.02735
49,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.06974,19667,5.67E-05,0.070232025,0.000807542,0.00991477,0.105945811,4189,1725.4,2693.08,15.71,7.68,0.12043,0.02532,0.00136,0.00074,0.0166,0.00503,0.16418,0.02698
50,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.55589,19499,5.62E-05,0.068962696,0.000814616,0.009731823,0.106555902,4222,1727.05,2614.01,15.81,7.72,0.11994,0.02794,0.00156,0.00076,0.01748,0.00541,0.16684,0.02964
