workload,experimentName,loadType,vmAllocationPolicy,vmSelectionPolicy,parameter,numberOfHosts,numberOfVms,totalSimulationTime,energy,numberOfMigrations,sla,slaTimePerActiveHost,slaDegradationDueToMigration,slaOverall,slaAverage,numberOfHostShutdowns,meanTimeBeforeHostShutdown,stDevTimeBeforeHostShutdown,meanTimeBeforeVmMigration,stDevTimeBeforeVmMigration,executionTimeVmSelectionMean,executionTimeVmSelectionStDev,executionTimeHostSelectionMean,executionTimeHostSelectionStDev,executionTimeVmReallocationMean,executionTimeVmReallocationStDev,executionTimeTotalMean,executionTimeTotalStDev
28,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.73555,21412,7.64268E-05,0.066359261,0.001151712,0.007634298,0.104705394,4034,1900.95,2631.31,16.19,7.65,0.01344,0.00385,0.00134,0.0008,0.02172,0.0065,0.07083,0.01651
29,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.45281,21399,7.49422E-05,0.065777368,0.001139332,0.007740548,0.105243966,4007,1901.1,2648.46,16.02,7.61,0.0134,0.00373,0.00136,0.00077,0.02235,0.00669,0.07146,0.01635
30,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.95528,21915,8.01548E-05,0.068459425,0.001170836,0.008443685,0.105463465,4143,1833.51,2545.39,16.14,7.67,0.01344,0.00381,0.00117,0.00066,0.02127,0.00602,0.06868,0.01422
31,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.33222,21309,0.000076618,0.066149175,0.001158262,0.007957887,0.105472902,3993,1906.96,2612.17,16.06,7.62,0.01337,0.0037,0.00131,0.00076,0.02222,0.0069,0.07151,0.01701
32,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.53289,21568,7.64053E-05,0.066015991,0.001157375,0.007737992,0.105238868,4009,1890.68,2542.08,16.11,7.64,0.01392,0.00367,0.00144,0.00071,0.02355,0.00649,0.07603,0.01665
33,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.61212,21696,0.000079639,0.067602098,0.001178055,0.007663555,0.104851206,4140,1849.96,2557.4,16.12,7.64,0.013,0.0037,0.00109,0.00065,0.02019,0.00553,0.06535,0.01307
34,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.85285,21496,7.82865E-05,0.067274197,0.001163694,0.00779513,0.104758133,4036,1891.2,2492.58,16.12,7.63,0.01401,0.00396,0.00156,0.00079,0.02402,0.00685,0.07743,0.01581
35,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.50026,21709,7.81638E-05,0.066592951,0.001173755,0.007792382,0.104465841,4055,1881.79,2608.84,16.1,7.63,0.01387,0.00406,0.00144,0.00079,0.02337,0.00711,0.07447,0.01794
36,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.25291,21680,8.05684E-05,0.068387865,0.001178109,0.008399075,0.106585254,4065,1878.67,2576.26,16.15,7.65,0.01313,0.00367,0.00106,0.00066,0.02025,0.00593,0.06541,0.01321
37,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.09709,21555,7.46393E-05,0.064502805,0.001157148,0.006949482,0.103920592,4013,1885.72,2612.47,16.05,7.59,0.01433,0.00381,0.00157,0.00074,0.02387,0.00649,0.07661,0.01641
38,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.74289,21795,7.98108E-05,0.066862141,0.001193662,0.007376483,0.105082825,4097,1859.95,2507,16.17,7.66,0.01383,0.00416,0.0013,0.00076,0.02216,0.00668,0.07111,0.01618
39,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.82824,21895,7.67666E-05,0.066073845,0.00116183,0.007365435,0.104270065,4122,1852.92,2546.93,16.12,7.64,0.01346,0.00381,0.0012,0.00084,0.02153,0.00715,0.06865,0.0177
40,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.97417,21455,7.50517E-05,0.064193214,0.001169153,0.007404596,0.105166323,3944,1918.92,2572.34,16.14,7.63,0.01893,0.00563,0.00183,0.00092,0.03427,0.01135,0.10841,0.03032
41,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.41991,21722,8.07624E-05,0.06865886,0.001176285,0.00795193,0.104343664,4112,1861.6,2532.52,16.15,7.63,0.01506,0.00419,0.0014,0.00065,0.02307,0.00544,0.0755,0.01235
42,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.6135,21699,7.71224E-05,0.065937643,0.001169627,0.007530068,0.104630533,4092,1872.93,2585.7,16.1,7.63,0.01414,0.00418,0.00152,0.00071,0.02435,0.00741,0.07659,0.01757
43,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.20386,21359,7.58131E-05,0.065195221,0.001162863,0.007347962,0.104448312,3969,1908.06,2559.9,16.08,7.63,0.01483,0.00401,0.00158,0.00079,0.0251,0.00727,0.07988,0.01732
44,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.35259,21669,7.80079E-05,0.066636261,0.001170653,0.007524058,0.105247438,4010,1899.99,2605.72,16.07,7.62,0.01506,0.00468,0.00156,0.00074,0.02489,0.00743,0.07993,0.01866
45,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.44014,21573,7.65092E-05,0.066037325,0.001158576,0.007222673,0.104690219,4046,1879.34,2637.41,16,7.56,0.01425,0.00438,0.00152,0.00077,0.02366,0.00691,0.07508,0.01706
46,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.68342,21539,0.000078108,0.067344917,0.001159821,0.00803524,0.105526623,4043,1867.41,2633.37,16.1,7.62,0.015,0.00434,0.00161,0.0008,0.0255,0.00752,0.08098,0.01889
47,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.41016,21619,7.70562E-05,0.065899906,0.001169292,0.007636738,0.10516161,3994,1907.37,2586.01,16.09,7.62,0.01449,0.00414,0.00149,0.0007,0.02461,0.00693,0.07859,0.01746
48,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.50497,21678,7.59784E-05,0.065596231,0.001158273,0.007728133,0.105544396,4022,1884,2677.58,15.99,7.56,0.0149,0.00447,0.0014,0.00067,0.02388,0.00659,0.07637,0.01472
49,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.15416,21745,0.000077857,0.066102917,0.001177814,0.007902384,0.105485665,4081,1861.67,2613.54,16.05,7.61,0.01402,0.00403,0.00141,0.0007,0.02307,0.00652,0.07408,0.01635
50,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.30766,21572,7.80947E-05,0.066278223,0.001178285,0.007427702,0.105215543,4044,1884.94,2638.21,16.06,7.59,0.01487,0.00456,0.00151,0.00077,0.02477,0.00737,0.07971,0.01846
