@RELATION training

@ATTRIBUTE ram REAL
@ATTRIBUTE cpuutilisation REAL
@ATTRIBUTE hostutilisation REAL
@ATTRIBUTE sla REAL
@ATTRIBUTE migration {0,1}

@DATA
870,0.500414,27,0.000498,1
613,0.80375,10,0.00132,1
870,0.243573,15,0.001028,1
613,0.807098,9,0.002459,1
1740,0.867793,42,0,1
613,0.294151,3,0.004227,1
1740,0.945834,40,0,1
870,0.905235,32,0.038928,1
1740,0.072304,3,0.003809,1
1740,0.483208,11,0.00384,1
1740,0.939801,46,0.005925,1
1740,0.910423,31,0.02655,1
1740,0.694882,34,0.027924,1
870,0.094095,6,0.004135,1
1740,0.98728,52,0.000505,1
1740,0.668904,35,0,1
613,0.265649,3,0.042767,1
613,0.896404,9,0.060036,1
613,0.097798,1,0.053258,1
1740,0.610662,28,0.069255,1
613,0.391249,4,0.039516,1
1740,0.697774,32,0.000111,1
870,0.809955,51,0.004383,1
870,0.946726,55,0.004477,1
613,0.728165,7,0.001676,1
870,0.853165,41,0.001037,1
613,0.301134,5,0.052096,1
1740,0.712591,24,0,1
613,0.949805,6,0.032961,1
613,0.666559,5,0.039734,1
870,0.58082,21,0.020708,1
870,0.908444,43,0.049601,1
613,0.481837,6,0.002702,1
613,0.731607,10,0.003565,1
613,0.794797,11,0.002613,1
613,0.560922,7,0.021126,1
870,0.701594,36,0.059474,1
613,0.793965,10,0.023177,1
613,0.030423,0,0.002557,1
870,0.38328,18,0.051849,1
870,0.287708,17,0.004633,1
613,0.316214,3,0.017867,1
613,0.901263,10,0.03105,1
613,0.891087,11,0.017577,1
613,0.376395,4,0.006537,1
613,0.170109,2,0.006473,1
870,0.398488,21,0.002982,1
870,0.374247,25,0.003844,1
870,0.800352,50,0.001026,1
613,0.483641,4,0.029097,1
870,0.634308,29,0.000911,1
870,0.824174,54,0.001753,1
613,0.098471,1,0.004263,1
613,0.678102,8,0.00304,1
613,0.600569,8,0.005937,1
613,0.596762,7,0.000084,1
613,0.937571,8,0.00538,1
870,0.707857,31,0.000812,1
870,0.057277,4,0.001712,1
1740,0.768767,41,0.004232,1
613,0.996957,11,0.000699,1
613,0.360726,5,0.001781,1
613,0.78438,13,0.003089,1
613,0.414928,8,0.035621,1
